"Games_Played","Games_Started","Goals","Assists","SHOTS","SHOTS_ON_TARGET","Game_Winning_Goals","HmG","RdG","G_90min","Games_Winning_Assists","OFF","Shots_on_Goals_Percent","Target"
0.818181818181818,0.794117647058823,0.205882352941176,0.153846153846154,0.261111111111111,0.315789473684211,0,0.0454545454545455,0.375,0.006,0.25,0.182926829268293,0.5,1
0.818181818181818,0.764705882352941,0.147058823529412,0.423076923076923,0.233333333333333,0.342105263157895,0.272727272727273,0.136363636363636,0.125,0.00444444444444444,0.25,0.109756097560976,0.6047,1
0.303030303030303,0.176470588235294,0,0,0.00555555555555556,0.0131578947368421,0,0,0,0,0,0,0.5,0
0.0303030303030303,0.0294117647058824,0,0,0,0.0131578947368421,0,0,0,0,0,0,1,0
0.696969696969697,0.676470588235294,0.117647058823529,0,0.0555555555555556,0.118421052631579,0.0909090909090909,0.0909090909090909,0.125,0.00355555555555556,0,0,0.8182,1
0,0.0294117647058824,0,0,0.00555555555555556,0,0,0,0,0,0,0,0,0
0.0606060606060606,0.0882352941176471,0,0,0.0166666666666667,0.0131578947368421,0,0,0,0,0,0,0.25,0
0.484848484848485,0.294117647058824,0.0294117647058824,0.0769230769230769,0.0722222222222222,0.0789473684210526,0,0,0.0625,0.00266666666666667,0,0.0121951219512195,0.4286,0
0.666666666666667,0.617647058823529,0.264705882352941,0.346153846153846,0.361111111111111,0.460526315789474,0.181818181818182,0.272727272727273,0.1875,0.00933333333333333,0.25,0.341463414634146,0.5303,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.181818181818182,0.117647058823529,0,0,0,0,0,0,0,0,0,0,0,0
0.242424242424242,0.205882352941176,0,0.0384615384615385,0.0111111111111111,0.0131578947368421,0,0,0,0,0,0,0.3333,0
1,0.676470588235294,0,0.153846153846154,0.127777777777778,0.0789473684210526,0,0,0,0,0.25,0,0.25,1
